SampleType,CarbonationState,Condition,ClLevel_wtPct_NaCl,ClLevel_wtPct_Cl_by_cement,E_corr_V_vs_SCE,beta_a_V_per_dec,beta_c_V_per_dec,ConditionTime_or_RH,i_corr_uA_per_cm2
Mortar,Non-carbonated,RH65,0,0,-0.054,0.472,-0.135,RH65,0.015
Mortar,Non-carbonated,RH65,0,0,-0.053,0.312,-0.138,RH65,0.014
Mortar,Non-carbonated,RH65,0,0,-0.057,0.334,-0.139,RH65,0.017
Mortar,Non-carbonated,RH65,0.5,0.21,-0.079,0.333,-0.127,RH65,0.017
Mortar,Non-carbonated,RH65,0.5,0.21,-0.06,0.333,-0.126,RH65,0.012
Mortar,Non-carbonated,RH65,0.5,0.21,-0.065,0.382,-0.119,RH65,0.018
Mortar,Non-carbonated,RH65,1,0.43,-0.077,0.6,-0.155,RH65,0.04
Mortar,Non-carbonated,RH65,1,0.43,-0.095,0.339,-0.137,RH65,0.025
Mortar,Non-carbonated,RH65,1,0.43,-0.09,0.484,-0.139,RH65,0.034
Mortar,Non-carbonated,RH65,2,0.87,-0.128,0.559,-0.156,RH65,0.052
Mortar,Non-carbonated,RH65,2,0.87,-0.13,0.675,-0.161,RH65,0.071
Mortar,Non-carbonated,RH65,2,0.87,-0.136,0.604,-0.164,RH65,0.052
Mortar,Non-carbonated,RH65,3,1.31,-0.151,0.504,-0.176,RH65,0.113
Mortar,Non-carbonated,RH65,3,1.31,-0.153,0.467,-0.198,RH65,0.134
Mortar,Non-carbonated,RH65,3,1.31,-0.178,0.402,-0.183,RH65,0.114
Mortar,Non-carbonated,RH65,5,2.24,-0.213,0.986,-0.294,RH65,0.679
Mortar,Non-carbonated,RH65,5,2.24,-0.206,0.868,-0.309,RH65,0.562
Mortar,Non-carbonated,RH65,5,2.24,-0.22,0.857,-0.278,RH65,0.492
Mortar,Non-carbonated,RH85,0,0,-0.061,0.253,-0.127,RH85,0.017
Mortar,Non-carbonated,RH85,0,0,-0.032,0.231,-0.135,RH85,0.022
Mortar,Non-carbonated,RH85,0,0,-0.032,0.245,-0.147,RH85,0.022
Mortar,Non-carbonated,RH85,0.5,0.21,-0.13,0.408,-0.13,RH85,0.047
Mortar,Non-carbonated,RH85,0.5,0.21,-0.082,0.277,-0.124,RH85,0.022
Mortar,Non-carbonated,RH85,0.5,0.21,-0.12,0.463,-0.123,RH85,0.069
Mortar,Non-carbonated,RH85,1,0.43,-0.181,0.795,-0.18,RH85,0.306
Mortar,Non-carbonated,RH85,1,0.43,-0.176,0.491,-0.18,RH85,0.217
Mortar,Non-carbonated,RH85,1,0.43,-0.181,0.765,-0.163,RH85,0.232
Mortar,Non-carbonated,RH85,2,0.87,-0.239,0.708,-0.209,RH85,0.427
Mortar,Non-carbonated,RH85,2,0.87,-0.208,0.453,-0.168,RH85,0.273
Mortar,Non-carbonated,RH85,2,0.87,-0.249,0.409,-0.155,RH85,0.302
